date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:44:10	355/355	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Feb%202026%2007:42:17%20GMT	https://manorbookpublishers.com/robots.txt		(from )
07:44:11	137019/137019	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Feb%202026%2007:42:17%20GMT	https://manorbookpublishers.com/	C:/My%20Web%20Sites/Manor/manorbookpublishers.com/index.html	(from )
07:44:12	9494/9494	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Jan%202026%2018:00:10%20GMT	https://manorbookpublishers.com/assets/css/index.css	C:/My%20Web%20Sites/Manor/manorbookpublishers.com/assets/css/index.css	(from https://manorbookpublishers.com/)
07:44:14	2426/2426	---M--	200	added ('OK')	image/x-icon	date:Wed,%2020%20Aug%202025%2010:51:13%20GMT	https://manorbookpublishers.com/assets/images/favicon.ico	C:/My%20Web%20Sites/Manor/manorbookpublishers.com/assets/images/favicon.ico	(from https://manorbookpublishers.com/)
07:44:15	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%226599bda5-317b%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	C:/My%20Web%20Sites/Manor/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	(from https://manorbookpublishers.com/)
07:44:15	50/50	---M--	302	error ('Found')	text/plain	date:Tue,%2024%20Feb%202026%2007:42:23%20GMT	https://unpkg.com/swiper@9/swiper-bundle.min.css	C:/My%20Web%20Sites/Manor/unpkg.com/swiper@9/swiper-bundle.min.3.delayed	(from https://manorbookpublishers.com/)
07:44:16	18065/18065	---MCZ	200	added ('OK')	text/css	date:Fri,%2029%20Aug%202025%2012:38:39%20GMT	https://unpkg.com/swiper@9.4.1/swiper-bundle.min.css	C:/My%20Web%20Sites/Manor/unpkg.com/swiper@9.4.1/swiper-bundle.min.css	(from https://manorbookpublishers.com/)
07:44:18	356631/356631	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2024%20Feb%202026%2007:42:23%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/Manor/connect.facebook.net/en_US/fbevents.js	(from https://manorbookpublishers.com/)
07:44:20	73984/73984	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Oct%202025%2019:08:28%20GMT	https://manorbookpublishers.com/assets/images/logo.png	C:/My%20Web%20Sites/Manor/manorbookpublishers.com/assets/images/logo.png	(from https://manorbookpublishers.com/)
07:44:22	137019/137019	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Feb%202026%2007:42:28%20GMT	https://manorbookpublishers.com/index.php	C:/My%20Web%20Sites/Manor/manorbookpublishers.com/index-2.html	(from https://manorbookpublishers.com/)
07:44:23	52197/52197	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jan%202026%2016:39:20%20GMT	https://manorbookpublishers.com/about-us	C:/My%20Web%20Sites/Manor/manorbookpublishers.com/about-us.html	(from https://manorbookpublishers.com/)
07:44:25	80632/80632	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jan%202026%2016:47:32%20GMT	https://manorbookpublishers.com/professional-ghostwriting-services	C:/My%20Web%20Sites/Manor/manorbookpublishers.com/professional-ghostwriting-services.html	(from https://manorbookpublishers.com/)
07:44:26	79153/79153	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jan%202026%2016:46:04%20GMT	https://manorbookpublishers.com/ebook-writing-services	C:/My%20Web%20Sites/Manor/manorbookpublishers.com/ebook-writing-services.html	(from https://manorbookpublishers.com/)
07:44:28	80771/80771	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jan%202026%2016:42:06%20GMT	https://manorbookpublishers.com/book-editing-services	C:/My%20Web%20Sites/Manor/manorbookpublishers.com/book-editing-services.html	(from https://manorbookpublishers.com/)
07:44:31	84648/84648	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jan%202026%2016:41:40%20GMT	https://manorbookpublishers.com/book-cover-design	C:/My%20Web%20Sites/Manor/manorbookpublishers.com/book-cover-design.html	(from https://manorbookpublishers.com/)
